filepath,start,end,scientific_name,common_name,confidence,lat,lon,week,overlap,sensitivity,min_conf,species_list,model
C:\Users\tomaug\Desktop\Panama 2023\Bird\23_01_22_Gamboa\PANAMA_20230122_181100.wav,0,3.0,Thraupis palmarum,Palm Tanager,0.4117,9.1500,-79.8500,3,1.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:\Users\tomaug\Desktop\Panama 2023\Bird\23_01_22_Gamboa\PANAMA_20230122_181100.wav,26.0,29.0,Thraupis palmarum,Palm Tanager,0.1457,9.1500,-79.8500,3,1.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:\Users\tomaug\Desktop\Panama 2023\Bird\23_01_22_Gamboa\PANAMA_20230122_181100.wav,52.0,55.0,Thraupis palmarum,Palm Tanager,0.2414,9.1500,-79.8500,3,1.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
