filepath,start,end,scientific_name,common_name,confidence,lat,lon,week,overlap,sensitivity,min_conf,species_list,model
C:\Users\tomaug\Desktop\Panama 2023\Bird\23_01_22_Gamboa\PANAMA_20230122_174100.wav,2.0,5.0,Thraupis episcopus,Blue-gray Tanager,0.1121,9.1500,-79.8500,3,1.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:\Users\tomaug\Desktop\Panama 2023\Bird\23_01_22_Gamboa\PANAMA_20230122_174100.wav,20.0,23.0,Thraupis episcopus,Blue-gray Tanager,0.1275,9.1500,-79.8500,3,1.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
C:\Users\tomaug\Desktop\Panama 2023\Bird\23_01_22_Gamboa\PANAMA_20230122_174100.wav,38.0,41.0,Todirostrum cinereum,Common Tody-Flycatcher,0.1081,9.1500,-79.8500,3,1.0,1.0,0.1,None,BirdNET_GLOBAL_2K_V2.1_Model_FP32.tflite
